n,s,trials,mean_key_comparisons,stddev_key_comparisons,mean_time_ms,median_time_ms,merge_growth_proxy,insertion_growth_proxy,total_growth_proxy
100000,1,10,1536275.40,183.18,11.7223,11.8015,1660964.05,100000.00,1760964.05
100000,10,10,1558009.90,255.41,28.8973,10.1795,1328771.24,1000000.00,2328771.24
100000,20,10,1639489.60,555.11,14.4458,13.4033,1228771.24,2000000.00,3228771.24
100000,30,10,1862175.40,866.04,11.2629,10.4776,1170274.99,3000000.00,4170274.99
100000,40,10,1862175.40,866.04,10.0540,9.3226,1128771.24,4000000.00,5128771.24
100000,50,10,2383341.80,1620.55,9.1909,9.2027,1096578.43,5000000.00,6096578.43
100000,60,10,2383341.80,1620.55,9.7969,9.2659,1070274.99,6000000.00,7070274.99
100000,70,10,2383341.80,1620.55,9.5368,9.1707,1048035.75,7000000.00,8048035.75
100000,80,10,2383341.80,1620.55,18.8803,18.7679,1028771.24,8000000.00,9028771.24
100000,90,10,2383341.80,1620.55,11.9693,11.1832,1011778.74,9000000.00,10011778.74
100000,100,10,3510368.40,3517.29,14.3049,12.4451,996578.43,10000000.00,10996578.43
100000,110,10,3510368.40,3517.29,14.4680,14.0466,982828.08,11000000.00,11982828.08
100000,120,10,3510368.40,3517.29,10.1663,9.9009,970274.99,12000000.00,12970274.99
100000,130,10,3510368.40,3517.29,9.9070,9.6646,958727.27,13000000.00,13958727.27
100000,140,10,3510368.40,3517.29,9.9129,9.8531,948035.75,14000000.00,14948035.75
100000,150,10,3510368.40,3517.29,9.8292,9.6631,938082.18,15000000.00,15938082.18
100000,160,10,3510368.40,3517.29,9.7763,9.7320,928771.24,16000000.00,16928771.24
100000,170,10,3510368.40,3517.29,9.6693,9.6612,920024.95,17000000.00,17920024.95
100000,180,10,3510368.40,3517.29,9.6297,9.6164,911778.74,18000000.00,18911778.74
100000,190,10,3510368.40,3517.29,9.6503,9.6473,903978.49,19000000.00,19903978.49
100000,200,10,5858773.60,11668.96,11.4180,11.3204,896578.43,20000000.00,20896578.43
100000,210,10,5858773.60,11668.96,11.4407,11.3573,889539.50,21000000.00,21889539.50
100000,220,10,5858773.60,11668.96,11.3385,11.3481,882828.08,22000000.00,22882828.08
100000,230,10,5858773.60,11668.96,11.2424,11.2049,876415.04,23000000.00,23876415.04
100000,240,10,5858773.60,11668.96,11.3329,11.2773,870274.99,24000000.00,24870274.99
100000,250,10,5858773.60,11668.96,11.3589,11.3395,864385.62,25000000.00,25864385.62
100000,260,10,5858773.60,11668.96,11.3001,11.2923,858727.27,26000000.00,26858727.27
100000,270,10,5858773.60,11668.96,11.2422,11.2330,853282.49,27000000.00,27853282.49
100000,280,10,5858773.60,11668.96,11.2636,11.2607,848035.75,28000000.00,28848035.75
100000,290,10,5858773.60,11668.96,11.2601,11.2372,842973.14,29000000.00,29842973.14
100000,300,10,5858773.60,11668.96,11.3843,11.3688,838082.18,30000000.00,30838082.18
100000,310,10,5858773.60,11668.96,11.4478,11.3698,833351.61,31000000.00,31833351.61
100000,320,10,5858773.60,11668.96,11.5419,11.4438,828771.24,32000000.00,32828771.24
100000,330,10,5858773.60,11668.96,11.2655,11.2806,824331.83,33000000.00,33824331.83
100000,340,10,5858773.60,11668.96,11.3630,11.3258,820024.95,34000000.00,34820024.95
