n,s,trials,mean_key_comparisons,stddev_key_comparisons,mean_time_ms,median_time_ms,stddev_time_ms
10000,1,10,120434.30,47.64,0.8775,0.8744,0.0111
10000,10,10,127053.90,124.40,0.7728,0.7663,0.0179
10000,20,10,143709.50,247.22,0.7204,0.7195,0.0105
10000,30,10,143709.50,247.22,0.7209,0.7155,0.0178
10000,40,10,183731.00,325.96,0.7059,0.7022,0.0140
10000,50,10,183731.00,325.96,0.7081,0.7013,0.0231
10000,60,10,183731.00,325.96,0.7197,0.7117,0.0287
10000,70,10,183731.00,325.96,0.7079,0.7034,0.0141
10000,80,10,272385.10,1788.20,0.7325,0.7243,0.0238
10000,90,10,272385.10,1788.20,0.7535,0.7454,0.0329
10000,100,10,272385.10,1788.20,0.7307,0.7220,0.0216
10000,110,10,272385.10,1788.20,0.7356,0.7248,0.0290
10000,120,10,272385.10,1788.20,0.7454,0.7318,0.0301
10000,130,10,272385.10,1788.20,0.7263,0.7246,0.0142
10000,140,10,272385.10,1788.20,0.7327,0.7221,0.0220
10000,150,10,272385.10,1788.20,0.7394,0.7350,0.0186
10000,160,10,457688.80,2498.30,0.8676,0.8611,0.0308
10000,170,10,457688.80,2498.30,0.8562,0.8521,0.0272
10000,180,10,457688.80,2498.30,0.8580,0.8555,0.0250
10000,190,10,457688.80,2498.30,0.8548,0.8458,0.0256
10000,200,10,457688.80,2498.30,0.9295,0.8652,0.1842
10000,300,10,457688.80,2498.30,0.8524,0.8539,0.0281
10000,500,10,837073.60,5447.21,1.1552,1.1546,0.0229
10000,1000,10,1607270.40,10048.96,1.8304,1.8199,0.0475
50000,1,10,718241.30,110.38,5.2672,5.2858,0.0515
50000,10,10,728906.40,186.17,4.7597,4.7845,0.0730
50000,20,10,769740.50,530.84,4.5522,4.5626,0.0395
50000,30,10,880813.60,692.95,4.2826,4.2816,0.0460
50000,40,10,880813.60,692.95,4.2993,4.2937,0.0526
50000,50,10,1141430.00,2118.84,4.3310,4.2505,0.1847
50000,60,10,1141430.00,2118.84,4.2990,4.2819,0.0828
50000,70,10,1141430.00,2118.84,4.3478,4.3465,0.0626
50000,80,10,1141430.00,2118.84,4.2920,4.2720,0.0499
50000,90,10,1141430.00,2118.84,4.2831,4.2720,0.0505
50000,100,10,1703547.30,3055.28,4.5429,4.5494,0.0440
50000,110,10,1703547.30,3055.28,4.5237,4.4891,0.0771
50000,120,10,1703547.30,3055.28,4.5156,4.5094,0.0647
50000,130,10,1703547.30,3055.28,4.6384,4.5774,0.1766
50000,140,10,1703547.30,3055.28,4.5297,4.5254,0.0457
50000,150,10,1703547.30,3055.28,4.5253,4.4971,0.0874
50000,160,10,1703547.30,3055.28,4.4989,4.4790,0.0463
50000,170,10,1703547.30,3055.28,4.5530,4.5604,0.0428
50000,180,10,1703547.30,3055.28,4.5313,4.5294,0.0478
50000,190,10,1703547.30,3055.28,4.5164,4.4789,0.0724
50000,200,10,2877594.70,7438.15,5.3593,5.3814,0.0691
50000,300,10,2877594.70,7438.15,5.3831,5.3849,0.0603
50000,500,10,5274328.40,13614.33,7.3730,7.3180,0.1851
50000,1000,10,10108039.90,33980.01,11.5908,11.6186,0.0834
100000,1,10,1536275.40,183.18,11.1124,11.1199,0.0939
100000,10,10,1558009.90,255.41,10.1468,10.1149,0.1050
100000,20,10,1639489.60,555.11,9.7705,9.6739,0.2077
100000,30,10,1862175.40,866.04,9.3657,9.3481,0.0935
100000,40,10,1862175.40,866.04,9.4076,9.3949,0.1081
100000,50,10,2383341.80,1620.55,9.2868,9.1792,0.2485
100000,60,10,2383341.80,1620.55,9.2357,9.2420,0.0647
100000,70,10,2383341.80,1620.55,9.2293,9.2192,0.1097
100000,80,10,2383341.80,1620.55,9.3101,9.2606,0.2079
100000,90,10,2383341.80,1620.55,9.2945,9.2824,0.0807
100000,100,10,3510368.40,3517.29,9.7973,9.7848,0.0996
100000,110,10,3510368.40,3517.29,9.7981,9.7994,0.0644
100000,120,10,3510368.40,3517.29,9.8323,9.8162,0.1573
100000,130,10,3510368.40,3517.29,9.7333,9.7329,0.0877
100000,140,10,3510368.40,3517.29,9.7840,9.7685,0.0762
100000,150,10,3510368.40,3517.29,9.6890,9.6884,0.0768
100000,160,10,3510368.40,3517.29,9.7261,9.6755,0.1835
100000,170,10,3510368.40,3517.29,9.7270,9.7166,0.0729
100000,180,10,3510368.40,3517.29,9.7435,9.7289,0.0629
100000,190,10,3510368.40,3517.29,9.7513,9.7536,0.0934
100000,200,10,5858773.60,11668.96,11.5231,11.4617,0.2165
100000,300,10,5858773.60,11668.96,11.3749,11.3633,0.0576
100000,500,10,10641564.10,29872.89,15.2968,15.2696,0.0818
100000,1000,10,20316600.60,23317.05,23.8080,23.7933,0.0953
500000,1,10,8837251.50,326.00,63.2483,63.1838,0.4913
500000,10,10,9036272.80,605.72,58.2922,58.2956,0.4496
500000,20,10,9611343.20,1125.65,55.8257,55.7961,0.2687
500000,30,10,10298758.50,2554.80,54.7902,54.7055,0.4310
500000,40,10,11092087.20,3486.89,53.9390,53.9061,0.2907
500000,50,10,11092087.20,3486.89,54.2076,54.1620,0.2758
500000,60,10,11092087.20,3486.89,54.3020,54.2283,0.2620
500000,70,10,14450042.10,9036.99,54.2961,54.2342,0.2677
500000,80,10,14450042.10,9036.99,54.2683,54.1996,0.2165
500000,90,10,14450042.10,9036.99,54.3503,54.2775,0.2648
500000,100,10,14450042.10,9036.99,54.3609,54.3212,0.2640
500000,110,10,14450042.10,9036.99,54.3758,54.3416,0.2535
500000,120,10,14450042.10,9036.99,54.3228,54.1899,0.3164
500000,130,10,21601468.50,22247.11,58.1900,58.2173,0.3115
500000,140,10,21601468.50,22247.11,58.3188,58.2631,0.2590
500000,150,10,21601468.50,22247.11,58.3038,58.3579,0.3753
500000,160,10,21601468.50,22247.11,58.1450,58.1440,0.2034
500000,170,10,21601468.50,22247.11,58.2834,58.1471,0.2888
500000,180,10,21601468.50,22247.11,59.1575,58.9244,0.8414
500000,190,10,21601468.50,22247.11,58.4979,58.4312,0.3705
500000,200,10,21601468.50,22247.11,58.4916,58.3288,0.7810
500000,300,10,36376455.60,35780.42,69.3420,69.2420,0.2935
500000,500,10,66402972.60,66364.21,94.4891,94.4477,0.3012
500000,1000,10,126951908.40,107031.64,148.5031,148.4670,0.4864
