n,depth,interval_low,interval_high,s,leaf_size,role,trials,mean_key_comparisons,stddev_key_comparisons,mean_time_ms,median_time_ms,stddev_time_ms
10000,14,1,1,1,1,candidate,31,120449.42,49.18,0.9063,0.9059,0.0467
10000,13,2,2,2,2,candidate,31,120449.42,49.18,0.8557,0.8500,0.0449
10000,12,3,3,3,3,candidate,31,120454.87,50.02,0.8302,0.8310,0.0364
10000,11,5,8,6,5,candidate,31,121475.16,101.93,0.7985,0.7992,0.0460
10000,10,10,18,14,10,candidate,31,127033.16,154.71,0.7627,0.7628,0.0313
10000,9,20,38,29,20,candidate,31,143593.90,275.01,0.7195,0.7040,0.1028
10000,8,40,77,58,40,candidate,31,183777.58,453.35,0.6788,0.6769,0.0226
10000,7,79,155,117,79,candidate,31,272071.68,1381.29,0.7100,0.7094,0.0242
10000,6,157,311,234,157,candidate,31,457671.39,2900.84,0.8220,0.8198,0.0265
10000,5,313,624,468,313,candidate,31,836857.06,4889.43,1.1248,1.1200,0.0295
10000,4,625,1249,937,625,candidate,31,1609513.94,9872.02,1.7763,1.7793,0.0253
10000,3,1250,2499,1874,1250,candidate,31,3156132.52,19713.58,3.1528,3.1250,0.1162
10000,8,40,77,58,40,control,31,183777.58,453.35,0.6848,0.6792,0.0262
50000,16,1,1,1,1,candidate,31,718232.16,126.78,5.3229,5.2450,0.2272
50000,15,2,2,2,2,candidate,31,718232.16,126.78,5.0631,5.0106,0.1751
50000,14,4,5,4,4,candidate,31,718442.97,135.94,4.9924,4.8986,0.2767
50000,13,7,11,9,7,candidate,31,728980.35,228.99,4.7922,4.6828,0.4209
50000,12,13,23,18,13,candidate,31,769768.94,435.11,4.5365,4.4800,0.1534
50000,11,25,47,36,25,candidate,31,880982.00,826.56,4.3569,4.3025,0.1939
50000,10,49,96,72,49,candidate,31,1141406.10,1745.48,4.3303,4.2728,0.1698
50000,9,98,194,146,98,candidate,31,1704436.19,3187.91,4.5491,4.4999,0.1795
50000,8,196,389,292,196,candidate,31,2877721.90,7458.20,5.3389,5.2950,0.1618
50000,7,391,780,585,391,candidate,31,5270915.32,14419.99,7.2559,7.2398,0.1412
50000,6,782,1561,1171,782,candidate,31,10108286.32,29144.24,11.4494,11.4045,0.1915
50000,5,1563,3124,2343,1563,candidate,31,19820897.61,64578.74,20.1204,20.0841,0.3175
50000,10,49,96,72,49,control,31,1141406.10,1745.48,4.3066,4.2519,0.1685
100000,17,1,1,1,1,candidate,31,1536418.97,190.29,11.0689,10.9678,0.2802
100000,16,2,2,2,2,candidate,31,1536418.97,190.29,10.8209,10.6901,0.3120
100000,15,4,5,4,4,candidate,31,1536801.68,199.27,10.3659,10.3248,0.1665
100000,14,7,11,9,7,candidate,31,1557934.81,365.79,10.2044,10.0263,0.7936
100000,13,13,23,18,13,candidate,31,1639398.71,621.18,9.5782,9.5296,0.1919
100000,12,25,47,36,25,candidate,31,1861975.32,1367.06,9.2797,9.1807,0.2807
100000,11,49,96,72,49,candidate,31,2382677.61,2131.31,9.1544,9.0955,0.1902
100000,10,98,194,146,98,candidate,31,3509910.16,5140.51,9.7014,9.6060,0.2600
100000,9,196,389,292,196,candidate,31,5856071.29,11471.20,11.2273,11.1903,0.1457
100000,8,391,780,585,391,candidate,31,10643574.65,26042.45,15.1446,15.0913,0.1766
100000,7,782,1561,1171,782,candidate,31,20315140.97,32457.21,23.8298,23.4723,1.7826
100000,6,1563,3124,2343,1563,candidate,31,39741446.29,73714.17,40.9124,40.8036,0.3919
100000,11,49,96,72,49,control,31,2382677.61,2131.31,9.1193,9.0957,0.1326
500000,19,1,1,1,1,candidate,31,8837248.97,396.01,62.1954,61.7215,1.4151
500000,18,2,2,2,2,candidate,31,8837248.97,396.01,62.0124,60.4373,8.0895
500000,17,4,6,5,4,candidate,31,8863909.55,538.60,58.6861,58.3030,1.2995
500000,16,8,14,11,8,candidate,31,9036381.03,703.40,59.6279,56.9763,14.2046
500000,15,16,29,22,16,candidate,31,9611446.10,1532.49,54.4246,54.3501,0.4594
500000,14,31,60,45,31,candidate,31,11092753.81,4017.84,53.1799,52.9595,0.8763
500000,13,62,121,91,62,candidate,31,14449980.45,8070.08,53.4905,53.1620,1.3705
500000,12,123,243,183,123,candidate,31,21603771.03,16599.25,57.9394,57.0739,2.9646
500000,11,245,487,366,245,candidate,31,36371974.32,34397.33,68.4784,67.8415,2.7646
500000,10,489,975,732,489,candidate,31,66396109.52,57892.35,93.9788,92.8192,4.0989
500000,9,977,1952,1464,977,candidate,31,126916543.84,123846.11,148.1363,145.7092,12.0008
500000,8,1954,3905,2929,1954,candidate,31,248511539.42,252865.59,256.1463,254.8874,3.9350
500000,13,62,121,91,62,control,31,14449980.45,8070.08,53.8519,53.1557,2.5155
