n,trial,seed,algorithm,threshold,wall_seconds,cpu_seconds
1000,1,20260910,Merge sort,1,0.0016119000501930714,0.0
1000,1,20260910,Hybrid sort,16,0.0010588999139145017,0.0
1000,2,20260911,Hybrid sort,16,0.0015060000587254763,0.0
1000,2,20260911,Merge sort,1,0.0019332000520080328,0.0
1000,3,20260912,Merge sort,1,0.0015460000140592456,0.0
1000,3,20260912,Hybrid sort,16,0.0011778000043705106,0.0
5000,1,20260910,Merge sort,1,0.010961299994960427,0.0
5000,1,20260910,Hybrid sort,16,0.008739399956539273,0.015625
5000,2,20260911,Hybrid sort,16,0.007767600007355213,0.015625
5000,2,20260911,Merge sort,1,0.011829199967905879,0.015625
5000,3,20260912,Merge sort,1,0.011062099947594106,0.015625
5000,3,20260912,Hybrid sort,16,0.008747899904847145,0.015625
10000,1,20260910,Merge sort,1,0.030872900038957596,0.03125
10000,1,20260910,Hybrid sort,16,0.019382000085897744,0.015625
10000,2,20260911,Hybrid sort,16,0.01945499994326383,0.015625
10000,2,20260911,Merge sort,1,0.02846429997589439,0.03125
10000,3,20260912,Merge sort,1,0.024857399985194206,0.015625
10000,3,20260912,Hybrid sort,16,0.018571399967186153,0.015625
50000,1,20260910,Merge sort,1,0.1496474000159651,0.140625
50000,1,20260910,Hybrid sort,16,0.1195892000105232,0.09375
50000,2,20260911,Hybrid sort,16,0.11557859997265041,0.125
50000,2,20260911,Merge sort,1,0.15643709991127253,0.15625
50000,3,20260912,Merge sort,1,0.17415429989341646,0.171875
50000,3,20260912,Hybrid sort,16,0.12612250004895031,0.125
100000,1,20260910,Merge sort,1,0.3243326999945566,0.328125
100000,1,20260910,Hybrid sort,16,0.27515510004013777,0.28125
100000,2,20260911,Hybrid sort,16,0.26077960000839084,0.25
100000,2,20260911,Merge sort,1,0.36320359993260354,0.359375
100000,3,20260912,Merge sort,1,0.3957873999606818,0.375
100000,3,20260912,Hybrid sort,16,0.3074160000542179,0.296875
500000,1,20260910,Merge sort,1,2.3624915999826044,2.296875
500000,1,20260910,Hybrid sort,16,1.9956861999817193,1.90625
500000,2,20260911,Hybrid sort,16,1.9633973999880254,1.890625
500000,2,20260911,Merge sort,1,2.2530835999641567,2.1875
500000,3,20260912,Merge sort,1,2.2461882000789046,2.09375
500000,3,20260912,Hybrid sort,16,1.8081101999850944,1.78125
1000000,1,20260910,Merge sort,1,5.122795399976894,4.953125
1000000,1,20260910,Hybrid sort,16,3.585606100037694,3.421875
1000000,2,20260911,Hybrid sort,16,3.692062299931422,3.609375
1000000,2,20260911,Merge sort,1,4.539947299985215,4.390625
1000000,3,20260912,Merge sort,1,4.624032899970189,4.453125
1000000,3,20260912,Hybrid sort,16,4.067535899928771,3.9375
5000000,1,20260910,Merge sort,1,30.205449000000954,29.0
5000000,1,20260910,Hybrid sort,16,22.08136079995893,21.25
5000000,2,20260911,Hybrid sort,16,21.249132200027816,20.625
5000000,2,20260911,Merge sort,1,27.79144920001272,26.921875
5000000,3,20260912,Merge sort,1,25.73169260006398,25.15625
5000000,3,20260912,Hybrid sort,16,23.193745400058106,22.4375
10000000,1,20260910,Merge sort,1,57.43464110000059,55.390625
10000000,1,20260910,Hybrid sort,16,53.260358699946664,51.296875
10000000,2,20260911,Hybrid sort,16,54.36861700005829,52.375
10000000,2,20260911,Merge sort,1,55.004414699971676,54.625
10000000,3,20260912,Merge sort,1,56.060684200027026,55.484375
10000000,3,20260912,Hybrid sort,16,46.59238600009121,46.359375
